역이름,y,x,호선,geometry
서대문,37.565773,126.966641,[5],POINT (126.966641 37.565773)
송정,37.561184,126.811973,[5],POINT (126.811973 37.561184)
신금호,37.554548,127.020331,[5],POINT (127.020331 37.554548)
신길,37.517122,126.917169,[5],POINT (126.917169 37.517122)
신정(은행정),37.524997,126.856191,[5],POINT (126.856191 37.524997)
아차산(어린이대공원후문),37.551691,127.089761,[5],POINT (127.089761 37.551691)
애오개,37.553736,126.95682,[5],POINT (126.95682 37.553736)
양평,37.525648,126.885778,[5],POINT (126.885778 37.525648)
여의나루,37.527098,126.932901,[5],POINT (126.932901 37.527098)
여의도,37.521624,126.924191,[5],POINT (126.924191 37.521624)
영등포시장,37.522669,126.905139,[5],POINT (126.905139 37.522669)
오목교(목동운동장앞),37.524496,126.875181,[5],POINT (126.875181 37.524496)
올림픽공원(한국체대),37.516078,127.130848,"[5, 9]",POINT (127.130848 37.516078)
우장산,37.548768,126.836318,[5],POINT (126.836318 37.548768)
장한평,37.56144,127.064623,[5],POINT (127.064623 37.56144)
천호(풍납토성),37.538397,127.123572,"[5, 8]",POINT (127.123572 37.538397)
청구,37.560245,127.013828,"[5, 6]",POINT (127.013828 37.560245)
하남검단산,37.5408714,127.242467,[5],POINT (127.242467 37.5408714)
하남시청(덕풍·신장),37.5424066,127.220388,[5],POINT (127.220388 37.5424066)
하남풍산,37.55137,127.2104525,[5],POINT (127.2104525 37.55137)
행당,37.557322,127.029476,[5],POINT (127.029476 37.557322)
화곡,37.541513,126.840461,[5],POINT (126.840461 37.541513)
고려대(종암),37.590508,127.036296,[6],POINT (127.036296 37.590508)
광흥창(서강),37.547456,126.931993,[6],POINT (126.931993 37.547456)
구산,37.611377,126.91727,[6],POINT (126.91727 37.611377)
녹사평(용산구청),37.534675,126.986695,[6],POINT (126.986695 37.534675)
대흥(서강대앞),37.547771,126.942069,[6],POINT (126.942069 37.547771)
독바위,37.618456,126.933031,[6],POINT (126.933031 37.618456)
돌곶이,37.610537,127.056431,[6],POINT (127.056431 37.610537)
디지털미디어시티,37.576646,126.900984,[6],POINT (126.900984 37.576646)
마포구청,37.563515,126.903343,[6],POINT (126.903343 37.563515)
망원,37.556094,126.910052,[6],POINT (126.910052 37.556094)
버티고개,37.548013,127.007055,[6],POINT (127.007055 37.548013)
보문,37.585286,127.019381,[6],POINT (127.019381 37.585286)
봉화산(서울의료원),37.617283,127.091401,[6],POINT (127.091401 37.617283)
상수,37.547716,126.922852,[6],POINT (126.922852 37.547716)
상월곡(한국과학기술연구원),37.606377,127.048491,[6],POINT (127.048491 37.606377)
새절(신사),37.591148,126.913629,[6],POINT (126.913629 37.591148)
석계,37.614805,127.065851,[6],POINT (127.065851 37.614805)
안암(고대병원앞),37.586272,127.029005,[6],POINT (127.029005 37.586272)
역촌,37.606021,126.922744,[6],POINT (126.922744 37.606021)
월곡(동덕여대),37.601948,127.041518,[6],POINT (127.041518 37.601948)
월드컵경기장(성산),37.569532,126.899298,[6],POINT (126.899298 37.569532)
응암,37.598605,126.915577,[6],POINT (126.915577 37.598605)
이태원,37.534488,126.994302,[6],POINT (126.994302 37.534488)
증산(명지대앞),37.583876,126.909645,[6],POINT (126.909645 37.583876)
창신,37.579661,127.015241,[6],POINT (127.015241 37.579661)
태릉입구,37.617983,127.07512,"[6, 7]",POINT (127.07512 37.617983)
한강진,37.539631,127.001725,[6],POINT (127.001725 37.539631)
화랑대(서울여대입구),37.620064,127.084689,[6],POINT (127.084689 37.620064)
효창공원앞,37.539261,126.961351,[6],POINT (126.961351 37.539261)
가산디지털단지,37.481072,126.882343,[7],POINT (126.882343 37.481072)
강남구청,37.517186,127.04128,[7],POINT (127.04128 37.517186)
공릉(서울과학기술대),37.625742,127.072896,[7],POINT (127.072896 37.625742)
광명사거리,37.479252,126.854876,[7],POINT (126.854876 37.479252)
남구로,37.486056,126.887249,[7],POINT (126.887249 37.486056)
남성,37.484596,126.971251,[7],POINT (126.971251 37.484596)
내방,37.487618,126.993513,[7],POINT (126.993513 37.487618)
논현,37.511093,127.021415,[7],POINT (127.021415 37.511093)
도봉산,37.689313,127.046222,[7],POINT (127.046222 37.689313)
마들,37.66494,127.057675,[7],POINT (127.057675 37.66494)
먹골,37.610637,127.077725,[7],POINT (127.077725 37.610637)
면목,37.588579,127.087503,[7],POINT (127.087503 37.588579)
반포,37.508178,127.011727,[7],POINT (127.011727 37.508178)
보라매,37.499872,126.920428,[7],POINT (126.920428 37.499872)
사가정,37.580894,127.088478,[7],POINT (127.088478 37.580894)
상도,37.502834,126.94791,[7],POINT (126.94791 37.502834)
상봉,37.596362,127.085032,[7],POINT (127.085032 37.596362)
수락산,37.67785,127.055315,[7],POINT (127.055315 37.67785)
숭실대입구(살피재),37.496029,126.953822,[7],POINT (126.953822 37.496029)
신대방삼거리,37.499701,126.928276,[7],POINT (126.928276 37.499701)
신풍,37.50008,126.90993,[7],POINT (126.90993 37.50008)
어린이대공원(세종대),37.548014,127.074658,[7],POINT (127.074658 37.548014)
온수(성공회대입구),37.492258,126.823388,[7],POINT (126.823388 37.492258)
용마산(용마폭포공원),37.573647,127.086727,[7],POINT (127.086727 37.573647)
이수,37.4852004,126.982382,[7],POINT (126.982382 37.4852004)
자양(뚝섬한강공원),37.5321618,127.064322,[7],POINT (127.064322 37.5321618)
장승배기,37.504898,126.93915,[7],POINT (126.93915 37.504898)
장암,37.700109,127.053196,[7],POINT (127.053196 37.700109)
중계,37.644583,127.064303,[7],POINT (127.064303 37.644583)
중곡,37.565923,127.08432,[7],POINT (127.08432 37.565923)
